ESTADO,EDAD,PROMEDIO ICFES,PROMEDIO_CARRERA,B,H,E,DESERTOR,
1,35,44.5,4.049464286,3.758333333,4.107692308,4.1156,0,
1,31,43.61125,3.983928571,3.696666667,4.11,4.029615385,0,
1,34,45.625,4.191071429,4.026666667,4.271538462,4.2196,0,
0,25,41.19,3.045454545,3,3.4,2.725,1,
0,19,44.75,3.723611111,3.271,3.95875,3.813333333,0,
1,24,46.06375,3.962564103,3.805,4.306666667,3.865882353,0,
0,20,44,3.991142857,3.83,4.00375,4.05,1,
0,24,44.8825,3.56,2,3.9,4,1,
0,35,44.95,3.463636364,3.2,4.05,3.075,1,
1,21,40.875,3.922222222,3.3,4.183333333,3.45,1,
1,26,45.005,3.854545455,2.6,3.95,4.025,1,
0,23,47.25,4.058,3.876,4.10125,4.169285714,0,
0,22,41.125,2.627272727,1.733333333,3.44,2.166666667,1,
0,39,44.14285714,4.3,3.3,4.8,4.3,1,
1,38,46.5,4.097142857,3.94,4.173571429,4.109166667,0,
1,27,44.04,3.863636364,2.5,4.15,3.775,1,
0,19,34.75,3.135454545,2.706666667,3.62,2.9725,1,
1,26,47.93125,4.035384615,3.874,4.213333333,3.966470588,0,
1,36,49.625,3.958035714,3.755,4.1475,4.01,0,
0,21,44.75,3.4625,3.042727273,3.74875,3.489285714,0,
0,23,46.5,2.22,0.6,3.85,1.4,1,
0,20,36.25,3.785,3.698888889,3.67375,3.9,0,
0,22,39.625,3.590909091,3.933333333,3.5,3.425,1,
0,21,40.125,3.511764706,3.635,3.42,3.465,1,
0,21,43.625,3.300588235,3.38,3.184,3.318333333,1,
0,21,38,3.526363636,3.374444444,3.588571429,3.565714286,0,
0,30,31.25,3.627272727,3.966666667,3.475,3.525,1,
0,22,47.375,3.66,3.1,3.95,3.65,1,
0,22,39.75,3.630909091,3.843333333,3.6,3.5025,1,
0,28,42.76625,0.6,3.194817293,1.5,3.592480379,1,
1,23,61.625,4.478918919,4.555,4.364285714,4.45,0,
0,37,51.375,4.437142857,4.538181818,4.204,4.469,0,
1,36,44.375,3.9903125,3.752727273,4.46,3.916666667,0,
0,23,41.625,2.277333333,2.53,2.221666667,2.142,1,
0,20,41.375,3.465172414,2.935384615,4.016,3.84,0,
0,21,48.5,3.515833333,2.73,4.34,3.075,1,
0,20,37,3.327619048,2.9275,4.022,3.29375,1,
0,20,52.75,4.425714286,4.329090909,4.366,4.507,0,
0,23,43.90375,2.643571429,1.81,3.151666667,3.016666667,1,
1,23,47.625,3.663333333,3.189166667,3.886666667,3.973,0,
0,24,51.37375,4.221612903,3.854,4.473333333,4.285,0,
0,24,55.22125,3.6,3.7,3.6,3.55,1,
1,26,45.19,3.98,3.762727273,3.83875,4.305833333,0,
1,25,47.6725,3.916666667,3.698181818,3.9125,4.099166667,0,
0,21,44.25,1.616666667,1.5,1.566666667,1.75,1,
0,26,44.47875,3.831785714,3.674545455,4.184,3.842,0,
1,25,48.94125,3.7940625,3.922727273,3.337142857,3.905,1,
0,22,46.375,3.434482759,3.319090909,3.171666667,3.693,1,
0,23,60.25,3.836666667,3.213333333,4.252,3.785,1,
1,24,53.4625,2.426842105,2.396666667,1.64125,3.75,1,
0,21,60.125,4.249310345,4.385454545,3.386666667,4.488,0,
0,22,50.875,4.3,3.8,4.533333333,4.2,1,
0,26,38.5,1.4,1.4,1.1,1.55,1,
0,22,44,3.596428571,3.21,3.928,3.808888889,0,
0,32,40.98375,4.112857143,3.918181818,4.364,4.135,0,
0,23,36.375,3.807142857,3.557272727,4.156,3.865,0,
0,20,33.875,3.102857143,2.6425,3.39,2.862,1,
0,38,50.85714286,2.8575,1.9,4.194,1.905,1,
1,21,49.625,2.680645161,2.395714286,3.419166667,1.936363636,1,
0,28,41.66125,2.215,1.266666667,3.45,1.3825,1,
0,19,52.25,3.849285714,3.553636364,3.958,4.09,0,
0,25,43.225,3.2975,3.355,3.115,3.5125,1,
0,30,45.4375,3.793333333,3.745,4.79,3.3675,1,
0,19,45.75,2.552352941,2.354285714,2.215,3.008333333,0,
0,20,42.5,3.707142857,3.868333333,3.623333333,3.652666667,0,
0,24,45.57375,3.883333333,3.6,3.933333333,3.95,1,
1,24,45.4025,4.125,3.814545455,4.462857143,4.154,0,
0,20,41.625,4.16,3.980909091,4.012,4.374,0,
0,20,52.25,1.358333333,1.05,1.2,1.75,1,
0,21,50.875,4.143571429,4.055454545,4.13,4.182,0,
0,25,47.9525,3.533571429,3.1575,4.096,3.682,0,
0,24,53.03625,4.311612903,4.244166667,4.248,4.409166667,0,
1,35,33,4.145636364,3.778461538,4.368333333,4.255,0,
1,35,36.14285714,4.091607143,3.987272727,4.261538462,4.086153846,0,
0,24,51.75,4.164642857,3.772727273,4.314,4.473,0,
0,29,49.75,3.947083333,3.786666667,4.423333333,3.79,0,
0,21,48.625,3.105833333,2.673333333,3.846,2.505,1,
0,18,58.625,3.988695652,3.72,4.47,4.02375,0,
0,23,46.625,3.736666667,3.206666667,4.376,3.335,1,
0,41,44.85714286,3.684166667,3.27,4.574,2.8825,1,
1,27,46.38625,3.719047619,3.25,4.0625,3.622222222,1,
0,22,39.875,3.3,2.41,3.86,3.515,1,
0,20,52.375,3.956086957,3.417,4.528,4.2725,0,
0,19,57.125,3.492380952,3.148,3.936,3.696666667,0,
0,25,41.625,3.74,3.306666667,4.312,3.834545455,0,
0,19,45,3.965555556,3.682857143,4.212,4.09,0,
0,27,45.61125,3.898695652,3.688,4.272,3.92875,0,
0,18,49.25,3.571904762,3.398888889,4.033333333,3.37,0,
0,26,40.58875,4.364166667,4.04,4.411428571,4.3625,1,
0,22,38.125,2.9795,2.701111111,3.908,2.623333333,0,
0,29,50.825,3.730714286,1.828,3.5575,4.457333333,1,
0,28,42.7675,2.608333333,2.553333333,3.278,1.8125,1,
0,23,48.5,4.434782609,4.281111111,4.668333333,4.4325,0,
0,21,51.42875,2.0825,1.19,2.443333333,2.316666667,1,
0,19,53.875,2.988333333,1.58,3.82,2.445,1,
0,22,40.125,3.031666667,1.52,3.756666667,2.7,1,
0,26,37.545,3.445,3.304,4.642,2.565,1,
0,23,55.125,3.877391304,3.712,4.084,3.955,0,
0,21,39.625,2.945,2.296666667,4.0125,3.118888889,0,
0,20,45.875,3.428571429,3.337777778,3.778,3.295714286,0,
0,24,40.84125,3.574375,2.9575,4.568,3.217142857,1,
0,21,44.875,1.135,1.05,0.993333333,1.39,1,
0,27,46.19875,3.939565217,3.703333333,4.186,3.845555556,0,
1,18,43.875,3.37,2.9575,3.74,3.611666667,0,
0,28,46.305,3.643888889,2.89,4.103333333,3.331666667,1,
0,21,32.875,1.11,0.81,1.21,1.11,1,
0,27,31.875,0.905,0.15,0.553333333,1.81,1,
0,21,55,3.836086957,3.433,4.35,4.01875,0,
0,20,42.75,3.816190476,3.369,4.285,4.187142857,0,
0,26,46.39625,3.723333333,3.183333333,4.356,3.3375,1,
1,41,37.375,4.0628,2.5125,4.35,4.363076923,1,
0,27,45.31375,1.261666667,0.78,1.353333333,1.365,1,
0,22,40.625,3.623888889,2.941428571,4.16,3.973333333,1,
1,30,47.75,4.285135135,4.346666667,4.3,4.310714286,0,
0,32,49.44,4.0485,3.685,3.835714286,4.225,1,
0,19,50.75,4.083333333,3.885,4.175,4.2625,0,
0,20,55,3.749565217,3.324444444,3.911666667,4.10625,0,
1,23,51.41125,4.10255814,3.873636364,3.911,4.221052632,0,
1,23,54.625,4.050645161,3.0025,3.918,4.38375,1,
0,27,39.69375,3.666086957,3.346666667,3.118571429,3.995833333,1,
0,22,50.375,3.740625,3.448888889,3.25375,4.148461538,0,
0,19,47.06217754,3.975416667,3.628,3.976666667,4.40875,0,
1,27,47.6275,4.093846154,3.71,4.144,4.136923077,1,
0,20,46.5,3.434166667,3.4,2.97,3.825,0,
0,21,48.625,4.102083333,3.896,4.145,4.3275,0,
0,19,48.5,3.77625,3.484,4.065,3.925,0,
0,19,48.625,3.867083333,3.669,4.246666667,3.83,0,
0,19,52.125,3.155416667,3.032,2.798333333,3.5775,0,
0,20,51.75,4.05375,3.833,4.148333333,4.25875,0,
0,20,41.25,3.725,3.51,3.95,3.825,0,
0,36,47.69625,3.455,3.32,3.616666667,3.28,1,
0,33,46.20625,2.85,2.813333333,3.006,2.6825,1,
1,26,49.71375,4.159090909,4.282,3.974,4.185,0,
0,25,46.5,2.765,2.34,2.303333333,3.67,1,
0,20,47.125,3.045,3.03,2.373333333,4.06,1,
0,19,37.25,3.565,3.435454545,3.913333333,3.47,0,
0,19,44.125,3.201304348,2.988,3.314,3.3975,0,
0,21,49.375,3.82,2.57,4.316666667,3.7,1,
0,19,52.75,3.994583333,3.854,4.176666667,4.03375,0,
0,21,41.5,4.01,3.781818182,4.194,4.20875,0,
0,24,46.00375,3.656190476,3.359,4.202,3.696666667,0,
1,28,47.75125,3.105238095,4.333333333,2.812,2.16875,1,
0,25,33.125,2.217333333,1.518,1.77,3.098333333,1,
0,28,48.10375,4.2705,4.315,3.6,4.523333333,1,
0,19,36.375,3.622380952,3.57,3.753333333,3.57,0,
0,24,36.07125,3.845,3.366666667,3.822857143,4.091428571,0,
0,24,50.75,3.710833333,3.606666667,4.002,3.425,1,
0,21,41.625,3.554,3.633333333,3.996,3.39375,0,
0,21,61.625,4.638888889,4.502857143,4.522,4.895,0,
0,19,51.625,3.931111111,3.792857143,4.078,3.97,0,
0,20,50.875,2.72,2.806,3.5375,2.191428571,1,
0,20,47.06217754,2.412777778,1.668571429,3.142,2.673333333,1,
0,20,53.25,3.33,2.92,3.556,3.35,1,
0,20,55,3.8875,3.236666667,4.126,4.0775,1,
0,21,40.25,3.942777778,4.1,3.81,3.87,0,
0,20,52.875,4.003157895,4.193333333,4.136,3.7775,0,
0,21,47.625,2.4,1.24,3.2875,1.99,1,
0,21,43.875,3.580714286,3.295,4.114,3.276,0,
0,24,48.125,3.771578947,3.402857143,4.104,3.902857143,0,
0,42,42.14285714,3.561428571,3.025,3.843333333,3.675,1,
0,19,44.875,3.126153846,2.52,3.371666667,3.2125,1,
0,22,55.25,4.297777778,4.257142857,4.166,4.455,0,
0,19,53,3.890555556,3.654285714,4.188,3.918333333,0,
0,23,43.48625,4.005,3.875714286,4.3625,3.725714286,0,
0,27,41.91125,3.622727273,2.98,4.038,3.573333333,0,
0,35,43.875,3.4025,3.12,3.754,3.175,1,
0,27,41.21875,4.149166667,4.345,4.0575,4.045,0,
0,19,39.875,2.706666667,1.44,3.31,2.435,1,
0,28,44.50625,3.724444444,3.42,4.1,3.766666667,0,
0,20,41.375,3.509473684,3.321428571,3.812,3.481428571,0,
0,19,40.25,3.786666667,3.44,3.99,3.655,1,
0,32,40.875,3.987142857,3.53,4.47,3.656666667,1,
0,26,43.32,3.689411765,3.55,3.85,3.724,0,
0,23,55.125,3.530833333,3.383333333,3.684,3.45,0,
0,19,56.125,3.171666667,2.63,3.403333333,3.095,1,
0,21,59.375,4.001111111,3.965714286,3.89,4.135,0,
0,23,38.625,2.746923077,2.233333333,3.254,2.548,1,
0,21,39.125,3.432941176,3.145714286,3.97,3.298,0,
0,30,49.515,4.362083333,4.057142857,4.47625,4.497777778,0,
0,22,39.75,3.357142857,2.7025,3.858,3.38,0,
0,20,51.5,3.686111111,3.881428571,3.734,3.418333333,0,
0,21,43,2.224444444,3.03,2.268,1.883333333,1,
1,21,48.875,4.370526316,4.44,3.728,4.725,1,
0,21,49.25,3.919444444,3.562857143,4.184,4.115,0,
0,21,38.625,3.702105263,3.072857143,4.174,3.994285714,0,
0,42,47.625,4.311666667,4.58,4.626666667,3.705,0,
0,19,57,2.74,2.463333333,3.3625,2.325,1,
0,20,49.625,3.544224711,3.194817293,3.789043952,3.592480379,1,
0,23,48.69375,4.05,2.7,4.313333333,4.33,1,
0,19,53,2.338333333,1.475,3.175,2.365,1,
0,24,40.485,3.834545455,4.17,3.76,3.696,0,
0,22,51.125,4.366363636,4.633333333,4.195,4.3375,0,
0,23,50.505,4.51,4.55,4.3825,4.6075,0,
0,31,42.87375,3.763636364,2.803333333,4.135,4.1125,1,
0,30,44.27,3.312727273,3.1125,3.787142857,3.083636364,0,
0,21,44.375,2.765,2.255,2.39,4.91,1,
0,34,47.875,4.452173913,4.39,4.44,4.48,0,
0,23,38.5,3.435454545,2.55,3.7175,3.8175,0,
0,17,37.935,4.304545455,4.47,4.2725,4.2125,0,
0,18,60.25,4.1,3.533333333,4.2725,4.3525,0,
0,27,44.77875,3.860909091,3.166666667,4.2425,4,0,
0,23,37.625,2.918333333,1.14,3.1,3.535,1,
0,39,48,4.815454545,4.846666667,4.7625,4.845,0,
0,18,48.5,3.720909091,3.193333333,3.89,3.9475,0,
0,19,49.625,4.030909091,3.756666667,4.03,4.2375,0,
0,22,48.75,3.559090909,3.446666667,3.92,3.07,1,
0,22,46.375,3.420909091,3.096666667,3.54,3.545,1,
0,19,42.625,1.718333333,1.14,1.09,2.95,1,
0,25,38.37,2.993636364,2.813333333,2.6275,3.495,0,
1,23,45.75,4.147333333,3.6225,4.385,4.282,0,
1,21,52.875,4.412941176,4.396666667,4.416666667,4.41625,0,
1,25,51.43125,4.323913043,3.8975,4.401428571,4.420833333,0,
0,19,47.25,4.051666667,4.15,4.04,4.02,1,
0,21,41.6175,4.35,3.956666667,4.441666667,4.476,0,
1,22,47.95875,4.1192,3.486666667,4.211428571,4.370909091,0,
0,17,48.875,1.366666667,0.6,1.173333333,2.04,1,
1,23,50.13625,3.345833333,3.496666667,3.134285714,3.86,1,
1,21,52.875,3.96,2.68,4.356666667,4.203333333,0,
0,29,35.625,4.291666667,4.7,4.163333333,4.28,1,
0,18,46.375,4.152727273,3.88,4.3,4.21,0,
0,30,45.74125,4.09,3.48,4.196666667,4.235,1,
0,21,47.06217754,4.143333333,3.51,4.36,4.135,1,
0,23,47.875,4.198333333,3.57,4.383333333,4.235,1,
0,32,49.4,4.465,4.42,4.31,4.72,0,
0,19,40,3.531666667,2.68,3.706666667,3.695,0,
0,22,46,3.923333333,2.85,4.22,4.015,0,
0,22,47.06217754,3.891666667,3.16,3.996666667,4.1,0,
0,18,49.25,4.081666667,3.7,3.916666667,4.52,0,
0,18,58.5,4.185,3.42,4.33,4.35,0,
0,17,49.375,4.06,3.96,3.88,4.38,0,
0,26,55.50625,4.688333333,4.64,4.616666667,4.82,0,
0,1,47.06217754,3.401666667,2.71,3.826666667,3.11,0,
0,18,59.5,3.01,3.31,2.18,4.105,0,
0,26,49.12875,4.168333333,3.13,4.39,4.355,0,
0,27,56.75,4.073333333,3.39,4.41,3.91,0,
1,21,43.75,4.451578947,4.09,4.583333333,4.415833333,1,
0,23,47.63875,1.081666667,1.05,1.113333333,1.05,1,
0,20,47.06217754,3.151666667,2.85,3.663333333,2.535,1,
0,18,44.25,3.618333333,3.26,3.836666667,3.47,0,
0,19,50,3.768333333,3.11,3.96,3.81,0,
0,19,47.06217754,3.825,3.05,4.06,3.86,1,
0,33,49.125,4.718333333,4.8,4.763333333,4.61,0,
0,22,42.25,3.305,3.19,3.836666667,2.565,1,
1,26,40.45625,4.363809524,3.333333333,4.625,4.464,0,
0,24,41.625,4.07,3.31,4.276666667,4.14,0,
0,22,37.875,4.008333333,3.39,4.44,3.67,0,
0,22,46.125,3.69,2.16,4.206666667,3.68,0,
0,18,61.375,4.016666667,3.46,3.88,4.5,1,
0,19,57.5,3.93,3.28,3.913333333,4.28,0,
1,20,44.75,4.04,3.67,4.6,3.4325,0,
0,27,44.9375,4.223333333,3.194817293,4.366666667,4.08,0,
0,27,49.82,4.418333333,3.37,4.733333333,4.47,0,
0,18,51.625,3.858333333,3.21,3.826666667,4.23,0,
1,21,43.75,4.093636364,3.27,4.408333333,4.013333333,0,
0,22,42.875,3.25,4.04,2.446666667,4.06,0,
0,24,39.375,3.756666667,3.3,4.106666667,3.46,0,
0,18,62.25,4.365,3.51,4.486666667,4.61,0,
0,20,47.06217754,3.51,2.84,3.756666667,3.475,0,
0,26,38.88375,1.895,0.93,2.68,1.2,1,
0,42,48.125,4.025,3.43,4.26,3.97,1,
0,19,51,4.356666667,4.38,4.203333333,4.575,0,
1,20,60.25,3.985714286,3.42,3.916666667,4.243333333,0,
0,20,47.06217754,3.912857143,3.48,3.67,4.3,0,
